Date and Time	Latitude of location reported by game	Longitude of location reported by game
2023-12-08T08:19:50.695Z	0	0
2023-12-08T08:46:22.151Z	52.335693	14.544331
2023-12-08T08:56:34.300Z	52.336629	14.543852
2023-12-08T08:57:23.142Z	52.336942	14.54356
2023-12-08T08:57:26.266Z	52.336977	14.544018
2023-12-08T08:57:26.416Z	52.336977	14.544018
2023-12-08T08:58:05.168Z	0	0
2023-12-08T08:58:25.059Z	0	0
2023-12-08T08:59:43.500Z	0	0
2023-12-08T09:01:14.427Z	0	0
2023-12-08T09:02:15.153Z	0	0
2023-12-08T09:04:22.151Z	0	0
2023-12-08T09:05:33.756Z	0	0
2023-12-08T09:05:51.250Z	52.339645	14.553163
2023-12-08T09:05:53.769Z	0	0
2023-12-08T09:08:05.400Z	52.340933	14.553719
2023-12-08T09:12:45.403Z	0	0
2023-12-08T09:12:51.950Z	0	0
2023-12-08T09:14:03.627Z	0	0
2023-12-08T09:14:08.303Z	0	0
2023-12-08T09:14:57.588Z	0	0
2023-12-08T09:15:04.878Z	0	0
2023-12-08T09:16:13.084Z	0	0
2023-12-08T09:16:48.223Z	0	0
2023-12-08T09:16:55.117Z	0	0
2023-12-08T09:17:00.191Z	0	0
2023-12-08T09:17:31.047Z	0	0
2023-12-08T09:18:01.409Z	0	0
2023-12-08T09:18:32.077Z	0	0
2023-12-08T09:19:01.931Z	0	0
2023-12-08T09:19:32.180Z	0	0
2023-12-08T09:20:03.012Z	0	0
2023-12-08T09:20:32.681Z	0	0
2023-12-08T09:21:03.419Z	0	0
2023-12-08T09:21:36.275Z	0	0
2023-12-08T09:22:04.034Z	0	0
2023-12-08T09:22:35.477Z	0	0
2023-12-08T09:23:05.164Z	0	0
2023-12-08T09:23:34.940Z	0	0
2023-12-08T09:24:06.014Z	0	0
2023-12-08T09:24:35.882Z	0	0
2023-12-08T09:25:05.955Z	0	0
2023-12-08T09:25:43.637Z	0	0
2023-12-08T09:26:14.955Z	0	0
2023-12-08T09:26:44.984Z	0	0
2023-12-08T09:27:15.007Z	0	0
2023-12-08T09:27:52.331Z	0	0
2023-12-08T09:28:24.932Z	0	0
2023-12-08T09:28:54.082Z	0	0
2023-12-08T09:29:44.040Z	0	0
2023-12-08T09:29:49.047Z	0	0
2023-12-08T09:30:21.003Z	0	0
2023-12-08T09:31:02.251Z	0	0
2023-12-08T09:31:23.733Z	0	0
2023-12-08T09:31:54.371Z	0	0
2023-12-08T09:32:23.835Z	0	0
2023-12-08T09:32:56.729Z	0	0
2023-12-08T09:33:24.731Z	0	0
2023-12-08T09:33:57.414Z	0	0
2023-12-08T09:34:28.353Z	0	0
2023-12-08T09:35:00.012Z	0	0
2023-12-08T09:35:25.176Z	0	0
2023-12-08T09:35:55.994Z	0	0
2023-12-08T09:36:26.549Z	0	0
2023-12-08T09:37:05.637Z	0	0
2023-12-08T09:37:30.090Z	0	0
2023-12-08T09:37:58.046Z	0	0
2023-12-08T09:38:42.190Z	0	0
2023-12-08T09:39:04.561Z	0	0
2023-12-08T09:39:36.489Z	0	0
2023-12-08T09:40:07.069Z	0	0
2023-12-08T09:40:37.932Z	0	0
2023-12-08T09:41:09.031Z	0	0
2023-12-08T09:41:43.903Z	0	0
2023-12-08T09:42:13.271Z	0	0
2023-12-08T09:42:39.458Z	0	0
2023-12-08T09:43:11.679Z	0	0
2023-12-08T09:43:41.159Z	0	0
2023-12-08T09:44:12.949Z	0	0
2023-12-08T09:44:41.987Z	0	0
2023-12-08T09:45:13.073Z	0	0
2023-12-08T09:45:51.691Z	0	0
2023-12-08T09:46:22.003Z	0	0
2023-12-08T09:46:56.911Z	0	0
2023-12-08T09:47:27.984Z	0	0
2023-12-08T09:47:59.088Z	0	0
2023-12-08T09:48:30.023Z	0	0
2023-12-08T09:48:59.948Z	0	0
2023-12-08T09:49:30.914Z	0	0
2023-12-08T09:50:00.473Z	0	0
2023-12-08T09:50:30.427Z	0	0
2023-12-08T09:51:01.850Z	0	0
2023-12-08T09:51:32.928Z	0	0
2023-12-08T09:52:04.049Z	0	0
2023-12-08T09:52:35.883Z	0	0
2023-12-08T09:53:05.368Z	0	0
2023-12-08T09:53:37.260Z	0	0
2023-12-08T09:54:05.921Z	0	0
2023-12-08T09:54:37.138Z	0	0
2023-12-08T09:55:08.330Z	0	0
2023-12-08T09:55:38.871Z	0	0
2023-12-08T09:56:18.026Z	0	0
2023-12-08T09:56:38.878Z	0	0
2023-12-08T09:57:09.004Z	0	0
2023-12-08T09:59:24.833Z	0	0
2023-12-08T10:02:00.236Z	0	0
2023-12-08T10:03:33.813Z	0	0
2023-12-08T10:06:09.925Z	0	0
2023-12-08T10:08:00.879Z	0	0
2023-12-08T10:08:31.067Z	0	0
2023-12-08T11:16:06.657Z	0	0
2023-12-08T11:21:32.001Z	0	0
2023-12-08T11:21:39.285Z	0	0
2023-12-08T11:25:11.394Z	0	0
2023-12-08T11:25:59.634Z	0	0
2023-12-08T11:26:05.845Z	0	0
2023-12-08T11:26:45.257Z	0	0
2023-12-08T11:26:51.946Z	0	0
2023-12-08T11:27:23.427Z	0	0
2023-12-08T11:27:53.311Z	0	0
2023-12-08T11:28:18.932Z	52.341243	14.550771
2023-12-08T11:28:37.759Z	0	0
2023-12-08T11:29:40.051Z	52.340427	14.551199
2023-12-08T11:29:44.105Z	52.34016	14.551837
2023-12-08T11:30:05.369Z	52.34016	14.551837
2023-12-08T11:30:13.612Z	0	0
2023-12-08T11:31:27.872Z	0	0
2023-12-08T11:31:42.717Z	0	0
2023-12-08T11:31:47.743Z	0	0
2023-12-08T11:33:23.544Z	0	0
2023-12-08T11:35:25.245Z	0	0
2023-12-08T11:36:39.907Z	0	0
2023-12-08T11:37:10.566Z	0	0
2023-12-08T11:37:47.359Z	0	0
2023-12-08T11:37:54.669Z	0	0
2023-12-08T11:38:32.688Z	0	0
2023-12-08T11:39:03.280Z	0	0
2023-12-08T11:39:29.624Z	0	0
2023-12-08T11:39:46.597Z	0	0
2023-12-08T11:40:13.885Z	0	0
2023-12-08T11:40:25.937Z	0	0
2023-12-08T11:40:35.219Z	0	0
2023-12-08T11:40:46.888Z	0	0
2023-12-08T11:40:58.414Z	0	0
2023-12-08T11:41:20.539Z	0	0
2023-12-08T11:41:43.664Z	0	0
2023-12-08T11:42:12.369Z	0	0
2023-12-08T11:42:27.231Z	0	0
2023-12-08T11:43:05.759Z	0	0
2023-12-08T11:43:36.438Z	0	0
2023-12-08T11:44:08.503Z	0	0
2023-12-08T11:44:37.705Z	0	0
2023-12-08T11:45:07.924Z	0	0
2023-12-08T11:45:14.809Z	0	0
2023-12-08T11:45:19.237Z	0	0
2023-12-08T11:50:35.217Z	0	0
2023-12-08T11:50:49.082Z	0	0
2023-12-08T11:51:03.180Z	0	0
2023-12-08T11:51:21.836Z	0	0
2023-12-08T11:51:34.212Z	0	0
2023-12-08T11:51:48.687Z	0	0
2023-12-08T11:52:05.325Z	0	0
2023-12-08T11:57:37.669Z	0	0
2023-12-08T11:57:42.489Z	0	0
2023-12-08T11:57:49.494Z	0	0
2023-12-08T11:57:56.707Z	0	0
2023-12-08T15:02:16.278Z	0	0
2023-12-08T15:05:59.527Z	0	0
2023-12-08T17:54:02.629Z	0	0
2023-12-08T17:54:17.143Z	0	0
2023-12-08T17:54:21.636Z	0	0
2023-12-08T17:54:41.165Z	0	0
2023-12-08T17:54:48.050Z	0	0
2023-12-08T17:54:52.765Z	0	0
2023-12-08T17:55:21.093Z	0	0
2023-12-08T17:55:40.218Z	0	0
2023-12-08T17:55:46.687Z	0	0
2023-12-08T17:55:49.984Z	0	0
2023-12-08T17:55:52.463Z	0	0
2023-12-08T17:55:55.949Z	0	0
2023-12-08T17:55:58.937Z	0	0
2023-12-08T17:56:01.522Z	0	0
2023-12-08T17:56:04.474Z	0	0
2023-12-08T17:56:07.952Z	0	0
2023-12-08T17:56:26.814Z	0	0
2023-12-08T17:56:29.445Z	0	0
2023-12-08T17:56:32.870Z	0	0
2023-12-08T17:56:35.464Z	0	0
2023-12-08T17:56:38.971Z	0	0
2023-12-08T17:56:41.506Z	0	0
2023-12-08T17:57:05.522Z	0	0
2023-12-08T17:57:08.942Z	0	0
2023-12-08T17:57:15.892Z	0	0
2023-12-08T17:57:18.923Z	0	0
2023-12-08T17:57:23.073Z	0	0
2023-12-08T17:57:25.953Z	0	0
2023-12-08T17:57:28.428Z	0	0
2023-12-08T17:57:31.952Z	0	0
2023-12-08T17:57:34.973Z	0	0
2023-12-08T17:57:37.896Z	0	0
2023-12-08T17:57:40.450Z	0	0
2023-12-08T17:57:43.910Z	0	0
2023-12-08T17:57:46.951Z	0	0
2023-12-08T17:57:49.440Z	0	0
2023-12-08T17:57:52.982Z	0	0
2023-12-08T17:57:55.419Z	0	0
2023-12-08T17:57:58.969Z	0	0
2023-12-08T17:58:02.972Z	0	0
2023-12-08T17:58:13.958Z	0	0
2023-12-08T17:58:17.014Z	0	0
2023-12-08T18:04:31.945Z	0	0
2023-12-08T18:04:55.000Z	0	0
2023-12-08T18:05:02.788Z	0	0
2023-12-08T18:05:09.721Z	0	0
2023-12-09T08:12:12.733Z	52.335588	14.543688
2023-12-09T08:12:15.809Z	52.336629	14.543852
2023-12-09T08:12:29.816Z	52.336629	14.543852
2023-12-09T08:12:32.628Z	0	0
2023-12-09T08:13:07.494Z	0	0
2023-12-09T08:14:19.748Z	0	0
2023-12-09T08:14:50.084Z	0	0
2023-12-09T08:17:37.079Z	0	0
2023-12-09T08:17:42.268Z	0	0
2023-12-09T08:17:47.241Z	0	0
2023-12-09T08:33:05.740Z	52.336629	14.543852
2023-12-09T08:33:48.355Z	0	0
2023-12-09T08:33:53.261Z	0	0
2023-12-09T08:33:57.749Z	0	0
2023-12-09T08:38:43.709Z	0	0
2023-12-09T08:39:18.893Z	0	0
2023-12-09T08:39:23.339Z	0	0
2023-12-09T08:39:27.858Z	0	0
2023-12-09T08:39:58.223Z	0	0
2023-12-09T08:44:08.509Z	0	0
2023-12-09T08:44:46.597Z	0	0
2023-12-09T08:44:52.167Z	0	0
2023-12-09T08:45:38.946Z	0	0
2023-12-09T08:45:42.770Z	0	0
2023-12-09T08:45:54.340Z	0	0
2023-12-09T08:46:31.983Z	0	0
2023-12-09T08:47:18.848Z	0	0
2023-12-09T08:47:38.978Z	0	0
2023-12-09T08:49:04.458Z	0	0
2023-12-09T08:49:34.853Z	0	0
2023-12-09T08:49:37.442Z	0	0
2023-12-09T08:49:40.919Z	0	0
2023-12-09T08:49:43.902Z	0	0
2023-12-09T08:49:47.045Z	0	0
2023-12-09T08:49:49.436Z	0	0
2023-12-09T08:49:52.348Z	0	0
2023-12-09T08:49:55.364Z	0	0
2023-12-09T08:49:58.851Z	0	0
2023-12-09T08:50:01.899Z	0	0
2023-12-09T08:50:04.449Z	0	0
2023-12-09T08:50:07.460Z	0	0
2023-12-09T08:50:10.900Z	0	0
2023-12-09T08:50:22.762Z	0	0
2023-12-09T08:50:26.640Z	0	0
2023-12-09T08:50:30.113Z	0	0
2023-12-09T08:50:40.419Z	0	0
2023-12-09T08:50:43.461Z	0	0
2023-12-09T08:50:48.975Z	0	0
2023-12-09T08:50:55.387Z	0	0
2023-12-09T08:50:58.875Z	0	0
2023-12-09T08:51:02.072Z	0	0
2023-12-09T08:51:04.387Z	0	0
2023-12-09T08:51:18.345Z	0	0
2023-12-09T08:51:31.442Z	0	0
2023-12-09T08:51:38.907Z	0	0
2023-12-09T08:51:41.404Z	0	0
2023-12-09T08:51:44.998Z	0	0
2023-12-09T08:51:48.051Z	0	0
2023-12-09T08:51:50.459Z	0	0
2023-12-09T08:51:53.943Z	0	0
2023-12-09T08:51:56.936Z	0	0
2023-12-09T08:52:02.356Z	0	0
2023-12-09T08:52:25.900Z	0	0
2023-12-09T08:52:28.409Z	0	0
2023-12-09T08:52:31.912Z	0	0
2023-12-09T08:52:34.938Z	0	0
2023-12-09T10:25:51.844Z	0	0
2023-12-09T10:31:33.428Z	0	0
2023-12-09T10:50:12.559Z	0	0
2023-12-09T10:50:16.031Z	0	0
2023-12-09T10:50:21.206Z	0	0
2023-12-09T10:50:56.911Z	0	0
2023-12-09T10:51:42.921Z	0	0
2023-12-09T10:52:07.925Z	0	0
2023-12-09T10:52:12.600Z	0	0
2023-12-09T10:52:15.414Z	0	0
2023-12-09T10:52:18.915Z	0	0
2023-12-09T10:52:21.877Z	0	0
2023-12-09T10:52:24.901Z	0	0
2023-12-09T10:52:41.990Z	0	0
2023-12-09T10:53:03.001Z	0	0
2023-12-09T10:53:14.223Z	0	0
2023-12-09T10:53:17.829Z	0	0
2023-12-09T10:53:27.922Z	0	0
2023-12-09T10:53:30.397Z	0	0
2023-12-09T10:56:58.762Z	0	0
2023-12-09T10:57:03.491Z	0	0
2023-12-09T10:57:08.486Z	0	0
2023-12-09T10:57:59.278Z	0	0
2023-12-09T10:58:11.246Z	0	0
2023-12-09T10:58:41.836Z	0	0
2023-12-09T10:59:20.216Z	0	0
2023-12-09T10:59:55.290Z	0	0
2023-12-09T11:00:26.190Z	0	0
2023-12-09T11:00:56.220Z	0	0
2023-12-09T11:01:37.208Z	0	0
2023-12-09T11:02:38.108Z	0	0
2023-12-09T11:02:38.834Z	52.336942	14.54356
2023-12-09T11:02:49.827Z	52.337031	14.54196
2023-12-09T11:02:49.953Z	52.337031	14.54196
2023-12-09T11:02:54.039Z	0	0
2023-12-09T11:02:58.664Z	0	0
2023-12-09T11:03:29.917Z	0	0
2023-12-09T11:03:59.763Z	0	0
2023-12-09T11:06:15.588Z	0	0
2023-12-09T11:07:51.960Z	0	0
2023-12-09T11:08:10.217Z	0	0
2023-12-09T11:08:15.379Z	0	0
2023-12-09T11:09:21.906Z	0	0
2023-12-09T11:13:01.959Z	0	0
2023-12-09T11:13:39.460Z	0	0
2023-12-09T11:13:43.954Z	0	0
2023-12-09T11:14:14.992Z	0	0
2023-12-09T11:14:50.453Z	0	0
2023-12-09T11:15:26.622Z	0	0
2023-12-09T11:18:07.350Z	0	0
2023-12-09T11:18:44.471Z	0	0
2023-12-09T11:22:54.837Z	0	0
2023-12-09T11:24:25.985Z	0	0
2023-12-09T11:31:57.412Z	0	0
2023-12-09T11:32:27.553Z	0	0
2023-12-09T11:32:34.463Z	0	0
2023-12-09T11:32:39.395Z	0	0
2023-12-09T11:32:44.413Z	0	0
2023-12-09T11:33:14.981Z	0	0
2023-12-09T11:33:45.399Z	0	0
2023-12-09T11:34:16.028Z	0	0
2023-12-09T11:34:45.548Z	0	0
2023-12-09T11:35:16.206Z	0	0
2023-12-09T11:35:46.523Z	0	0
2023-12-09T11:36:17.989Z	0	0
2023-12-09T11:36:58.638Z	0	0
2023-12-09T11:37:34.067Z	0	0
2023-12-09T11:37:40.533Z	0	0
2023-12-09T11:37:44.899Z	0	0
2023-12-09T11:38:16.091Z	0	0
2023-12-09T11:38:45.957Z	0	0
2023-12-09T11:39:17.165Z	0	0
2023-12-09T11:39:47.399Z	0	0
2023-12-09T11:40:17.480Z	0	0
2023-12-09T11:40:47.907Z	0	0
2023-12-09T11:41:17.966Z	0	0
2023-12-09T11:41:47.463Z	0	0
2023-12-09T11:42:33.950Z	0	0
2023-12-09T11:43:08.283Z	0	0
2023-12-09T11:43:39.290Z	0	0
2023-12-09T11:44:09.439Z	0	0
2023-12-09T11:44:39.746Z	0	0
2023-12-09T11:45:10.044Z	0	0
2023-12-09T11:45:39.771Z	0	0
2023-12-09T11:46:09.985Z	0	0
2023-12-09T11:46:39.729Z	0	0
2023-12-09T11:47:10.414Z	0	0
2023-12-09T11:47:40.648Z	0	0
2023-12-09T11:48:10.782Z	0	0
2023-12-09T11:48:41.037Z	0	0
2023-12-09T11:49:11.139Z	0	0
2023-12-09T11:49:41.375Z	0	0
2023-12-09T11:50:11.501Z	0	0
2023-12-09T11:50:41.797Z	0	0
2023-12-09T11:51:15.885Z	0	0
2023-12-09T11:51:46.682Z	0	0
2023-12-09T11:52:17.360Z	0	0
2023-12-09T11:52:47.481Z	0	0
2023-12-09T11:53:17.648Z	0	0
2023-12-09T11:53:47.775Z	0	0
2023-12-09T11:54:17.978Z	0	0
2023-12-09T11:54:48.180Z	0	0
2023-12-09T11:55:18.229Z	0	0
2023-12-09T11:55:48.012Z	0	0
2023-12-09T11:56:18.838Z	0	0
2023-12-09T11:56:48.909Z	0	0
2023-12-09T11:57:19.055Z	0	0
2023-12-09T11:57:49.056Z	0	0
2023-12-09T11:58:19.211Z	0	0
2023-12-09T11:58:49.323Z	0	0
2023-12-09T11:59:19.461Z	0	0
2023-12-09T11:59:49.538Z	0	0
2023-12-09T12:00:19.658Z	0	0
2023-12-09T12:00:49.817Z	0	0
2023-12-09T12:01:19.891Z	0	0
2023-12-09T12:01:50.020Z	0	0
2023-12-09T12:02:20.050Z	0	0
2023-12-09T12:02:50.175Z	0	0
2023-12-09T12:03:20.262Z	0	0
2023-12-09T12:03:50.464Z	0	0
2023-12-09T12:04:20.409Z	0	0
2023-12-09T12:04:50.451Z	0	0
2023-12-09T12:05:20.694Z	0	0
2023-12-09T12:05:50.659Z	0	0
2023-12-09T12:06:20.934Z	0	0
2023-12-09T12:06:50.903Z	0	0
2023-12-09T12:07:20.541Z	0	0
2023-12-09T12:07:51.113Z	0	0
2023-12-09T12:08:21.219Z	0	0
2023-12-09T12:09:01.018Z	0	0
2023-12-09T12:09:31.563Z	0	0
2023-12-09T12:10:01.758Z	0	0
2023-12-09T12:10:31.724Z	0	0
2023-12-09T12:11:01.805Z	0	0
2023-12-09T12:11:31.887Z	0	0
2023-12-09T12:12:04.058Z	0	0
2023-12-09T12:12:51.714Z	0	0
2023-12-09T12:13:02.952Z	0	0
2023-12-09T12:13:50.104Z	0	0
2023-12-09T12:14:26.583Z	0	0
2023-12-09T12:15:03.704Z	0	0
2023-12-09T12:15:33.845Z	0	0
2023-12-09T12:16:03.945Z	0	0
2023-12-09T12:16:38.212Z	0	0
2023-12-09T12:17:08.821Z	0	0
2023-12-09T12:17:38.434Z	0	0
2023-12-09T12:18:19.031Z	0	0
2023-12-09T14:35:29.212Z	0	0
2023-12-09T14:35:42.472Z	0	0
2023-12-09T14:38:12.992Z	0	0
2023-12-09T14:38:24.652Z	0	0
2023-12-09T14:38:27.994Z	0	0
2023-12-09T14:38:32.976Z	0	0
2023-12-09T14:39:01.471Z	0	0
2023-12-09T14:39:23.949Z	0	0
2023-12-09T14:39:26.470Z	0	0
2023-12-09T14:39:29.955Z	0	0
2023-12-09T14:39:33.029Z	0	0
2023-12-09T14:39:36.059Z	0	0
2023-12-09T14:39:45.937Z	0	0
2023-12-09T14:39:49.010Z	0	0
2023-12-09T14:39:51.473Z	0	0
2023-12-09T14:39:54.452Z	0	0
2023-12-09T14:39:57.899Z	0	0
2023-12-09T14:40:01.154Z	0	0
2023-12-09T14:40:04.964Z	0	0
2023-12-09T14:40:33.413Z	0	0
2023-12-09T14:40:36.607Z	0	0
2023-12-09T14:40:39.435Z	0	0
2023-12-09T14:40:42.561Z	0	0
2023-12-09T14:40:59.925Z	0	0
2023-12-09T14:41:03.008Z	0	0
2023-12-09T14:41:05.941Z	0	0
2023-12-09T14:41:09.063Z	0	0
2023-12-09T14:42:39.040Z	0	0
2023-12-09T14:42:41.486Z	0	0
2023-12-09T14:43:00.545Z	0	0
2023-12-09T14:43:03.968Z	0	0
2023-12-09T14:43:06.940Z	0	0
2023-12-09T14:43:09.944Z	0	0
2023-12-09T14:45:00.975Z	0	0
2023-12-09T14:46:06.599Z	0	0
2023-12-09T17:04:28.333Z	0	0
2023-12-09T17:04:33.489Z	0	0
2023-12-09T17:05:03.664Z	0	0
2023-12-09T17:05:09.453Z	0	0
2023-12-09T17:05:29.204Z	0	0
2023-12-09T17:05:46.025Z	0	0
2023-12-09T17:05:51.211Z	0	0
2023-12-09T17:11:34.773Z	0	0
2023-12-09T17:11:39.366Z	0	0
2023-12-09T17:13:14.322Z	0	0
2023-12-09T17:14:26.599Z	52.332398	14.538863
2023-12-09T17:16:14.870Z	0	0
2023-12-09T17:16:38.859Z	0	0
2023-12-09T17:33:09.669Z	0	0
2023-12-09T17:33:12.477Z	0	0
2023-12-09T17:33:30.001Z	0	0
2023-12-09T17:35:15.929Z	0	0
2023-12-09T17:35:20.973Z	0	0
2023-12-09T17:35:24.926Z	0	0
2023-12-09T17:35:49.413Z	0	0
2023-12-09T17:35:52.915Z	0	0
2023-12-09T17:38:35.946Z	0	0
2023-12-09T17:50:16.444Z	0	0
2023-12-09T17:50:19.882Z	0	0
2023-12-09T17:50:24.369Z	0	0
2023-12-09T17:50:27.451Z	0	0
2023-12-09T17:50:50.469Z	0	0
2023-12-09T17:50:53.513Z	0	0
2023-12-09T17:59:22.486Z	0	0
2023-12-09T17:59:25.897Z	0	0
2023-12-09T17:59:29.873Z	0	0
2023-12-09T18:04:48.408Z	0	0
2023-12-09T18:04:51.956Z	0	0
2023-12-09T18:04:55.954Z	0	0
2023-12-09T18:04:59.983Z	0	0
2023-12-09T18:05:03.466Z	0	0
2023-12-09T18:05:09.987Z	0	0
2023-12-09T18:05:13.935Z	0	0
2023-12-09T18:08:02.946Z	0	0
2023-12-09T18:08:19.414Z	0	0
2023-12-09T18:08:22.395Z	0	0
2023-12-09T18:08:25.359Z	0	0
2023-12-09T18:08:28.824Z	0	0
2023-12-09T18:08:45.384Z	0	0
2023-12-09T18:08:48.498Z	0	0
2023-12-09T18:09:20.717Z	52.317867	13.214194
2023-12-09T18:09:21.024Z	0	0
2023-12-09T18:11:02.556Z	0	0
2023-12-09T18:11:05.395Z	0	0
2023-12-09T18:13:07.512Z	0	0
2023-12-09T18:16:29.891Z	0	0
2023-12-09T18:16:34.969Z	0	0
2023-12-09T18:17:40.000Z	52.328465	13.165059
2023-12-09T18:21:56.728Z	0	0
2023-12-09T18:23:59.257Z	52.327757	13.162229
2023-12-09T18:25:15.274Z	52.326644	13.159686
2023-12-09T18:26:22.367Z	0	0
2023-12-09T18:32:48.395Z	52.322019	13.130987
2023-12-09T18:33:10.686Z	52.32171	13.129186
2023-12-09T18:33:13.107Z	0	0
2023-12-09T18:34:13.752Z	52.320065	13.127799
2023-12-09T18:34:35.881Z	52.320074	13.128415
2023-12-09T18:34:44.767Z	52.319424	13.127865
2023-12-09T18:36:03.361Z	52.315765	13.125285
2023-12-09T18:36:52.081Z	52.315715	13.122351
2023-12-09T18:37:17.794Z	0	0
2023-12-09T18:38:36.144Z	52.313979	13.123089
2023-12-09T18:38:37.862Z	0	0
2023-12-09T18:40:10.461Z	52.310188	13.12338
2023-12-09T18:42:42.406Z	52.312068	13.121125
2023-12-09T18:44:35.277Z	52.315715	13.122351
2023-12-09T18:44:40.994Z	0	0
2023-12-09T18:46:11.097Z	0	0
2023-12-09T18:46:17.641Z	0	0
2023-12-09T18:48:05.779Z	52.316054	13.119411
2023-12-09T18:48:08.071Z	52.315963	13.119637
